Date,Open,High,Low,Close,Volume,OpenInt
2005-11-18,32.508,33.261,32.508,33.221,1050452,0
2005-11-21,33.202,33.202,32.904,33.024,494704,0
2005-11-22,32.904,33.182,32.795,33.112,587834,0
2005-11-23,33.142,33.499,32.885,33.459,462215,0
2005-11-25,33.401,33.598,33.281,33.499,295733,0
2005-11-28,33.688,33.698,32.964,33.063,942996,0
2005-11-29,33.063,33.419,33.024,33.361,988501,0
2005-11-30,33.311,33.578,33.004,33.063,1013422,0
2005-12-01,33.092,33.401,32.914,33.014,984869,0
2005-12-02,33.112,33.152,32.865,32.904,677835,0
2005-12-05,32.855,33.004,32.577,32.835,912222,0
2005-12-06,32.924,33.044,32.34,32.35,1752199,0
2005-12-07,32.428,32.657,31.983,32.171,1024925,0
2005-12-08,32.34,33.142,32.34,32.785,1409650,0
2005-12-09,32.647,32.855,32.399,32.765,1460300,0
2005-12-12,32.765,32.964,32.716,32.944,859048,0
2005-12-13,32.825,32.894,32.468,32.805,653317,0
2005-12-14,32.805,33.132,32.706,33.014,684494,0
2005-12-15,32.954,32.974,32.151,32.577,810717,0
2005-12-16,32.567,32.855,32.359,32.508,768341,0
2005-12-19,32.528,32.587,32.092,32.151,749776,0
2005-12-20,32.062,32.171,31.755,32.072,989610,0
2005-12-21,32.082,32.627,32.082,32.3,619515,0
2005-12-22,32.3,32.647,32.26,32.577,461912,0
2005-12-23,32.587,32.647,32.25,32.399,607609,0
2005-12-27,32.567,32.795,32.409,32.409,542430,0
2005-12-28,32.409,32.755,32.25,32.667,508628,0
2005-12-29,32.577,32.657,32.26,32.33,392090,0
2005-12-30,32.111,32.31,32.022,32.221,538695,0
